Date,Adj Close,AvgRange,Close,FrogBox,High,Low,Open,Volume
2010-02-16,26.466665000000006,5.364998333333342,203.399996,2.855389899583173,203.690002,201.520006,201.940002,135934400
2010-02-17,26.356063,5.4093318000000075,202.550003,2.813284404061466,204.310003,200.860004,204.190001,109099200
2010-02-18,26.405508,5.430331400000006,202.929998,2.7918531479141806,203.889994,200.920006,201.629995,105706300
2010-02-19,26.241555,5.350665133333339,201.669996,2.8533289548246876,203.200005,201.109997,201.860001,103867400
2010-02-22,26.078903,5.362664966666673,200.419994,2.843625175112372,202.500002,199.190006,202.339998,97640900
2010-02-23,25.641696,5.451998566666673,197.059998,2.8067494418651004,201.330002,195.709993,199.999998,143773700
2010-02-24,26.110133,5.420332066666673,200.66,2.8225913252559858,201.440004,197.840002,198.229998,115141600
2010-02-25,26.284496,5.507665600000006,202.000004,2.7967386693731595,202.859997,196.889994,197.380005,166281500
2010-02-26,26.625413,5.3856654333333385,204.619997,2.8168232575683265,205.169996,202.000004,202.379999,126865200
2010-03-01,27.194044,5.472665633333337,208.990004,2.7297145707357404,209.500002,205.450003,205.749996,137523400
2010-03-02,27.175826,5.3846658333333375,208.85,2.7634776008459814,210.830006,207.740002,209.929998,141636600
2010-03-03,27.238284000000004,5.183999033333336,209.329998,2.7892236875282697,209.869997,207.940006,208.940002,93013200
2010-03-04,27.417852000000003,5.058665933333336,210.710003,2.833100746708113,210.919994,208.629995,209.279997,91510300
2010-03-05,28.490052,5.024332700000003,218.950005,2.8262790120961983,219.69999500000003,214.62999900000003,214.940006,224905100
2010-03-08,28.506966,4.7409995666666696,219.079994,2.6981672855714334,220.090004,218.250002,220.010002,107472400
2010-03-09,29.019645,4.827666400000003,223.020004,2.732035810780604,224.999996,217.889994,218.310003,230064800
2010-03-10,29.256464,4.532666766666668,224.839993,2.495630308688672,225.480007,223.19999500000003,223.829996,149054500
2010-03-11,29.342346000000006,4.237000466666668,225.500008,2.2054303363410286,225.500008,223.319998,223.909998,101425100
2010-03-12,29.485479,4.076333233333334,226.600006,2.187774981855892,227.729992,225.75,227.37001,104080900
2010-03-15,29.126344,3.8530006000000014,223.839996,1.6261982980545684,225.500008,220.249994,225.380005,123375700
2010-03-16,29.205718,3.7786669000000006,224.449997,1.6370773990793213,224.979996,222.510006,224.180004,111727000
2010-03-17,29.162778000000007,3.7866666,224.120003,1.633420160433186,226.449989,223.269997,224.899994,112739200
2010-03-18,29.231742,3.673666666666666,224.650002,1.6078258224857909,224.999996,222.60999500000003,224.100002,85527400
2010-03-19,28.919451,3.580666766666667,222.25,1.4976732216214357,225.240002,221.230003,224.790005,139861400
2010-03-22,29.244755,3.603999733333333,224.750004,1.52810913432246,225.999992,220.150005,220.46999900000003,114104900
2010-03-23,29.714491,3.630666133333333,228.359993,1.540025447276384,228.780003,224.100002,225.640011,150607800
2010-03-24,29.845915,3.628666966666665,229.370003,1.5412465448975845,230.200008,227.509987,227.640003,149445100
2010-03-25,29.491984,3.708000366666665,226.649994,1.5338628541617485,230.970013,226.250011,230.919998,135571100
2010-03-26,30.045,3.6316665999999977,230.899998,1.4881256548630473,231.950008,228.550011,228.949993,160218800
2010-03-29,30.23888,3.502000533333332,232.389992,1.4303831822994966,233.86999900000004,231.619987,232.999992,135186100
2010-03-30,30.689099,3.5373333333333314,235.849991,1.4092819434636894,237.479988,234.250008,236.599995,131827500
2010-03-31,30.578499,3.494000333333332,235.000011,1.4318652092026205,236.610008,234.459999,235.490009,107664900
2010-04-01,30.704714000000006,3.5943341666666635,235.969994,1.4978204318075954,238.730003,232.75,237.41,150786300
2010-04-05,31.03262,3.6493340666666634,238.489998,1.4707256998084457,238.509998,234.76999300000003,234.980011,171126900
2010-04-06,31.169249,3.6470006666666634,239.540009,1.4713380499800877,240.239998,237.000004,238.200005,111754300
2010-04-07,31.307177000000006,3.5683344333333302,240.600006,1.4245576854891953,241.92001,238.659988,239.549995,157125500
2010-04-08,31.222598,3.565001033333329,239.950005,1.4245980291203897,241.540001,238.040001,240.440002,143247300
2010-04-09,31.462020000000006,3.4136673666666635,241.789993,1.401256520798893,241.889996,240.460003,241.430012,83545700
2010-04-12,31.527082,3.3500010333333305,242.290005,1.4550668907792412,243.069996,241.809994,242.199989,83256600
2010-04-13,31.545299,3.271334366666664,242.430008,1.4795074472388017,242.800003,241.110004,241.860008,76552700
2010-04-14,31.969494,3.2263346666666632,245.690002,1.5055144789412302,245.810005,244.069992,245.280006,101019100
2010-04-15,32.389787,3.2793349999999983,248.92001,1.4861672934091377,249.02999900000003,245.509998,245.779991,94196200
2010-04-16,32.192001,3.4226684999999994,247.400002,1.5911123005509311,251.140007,244.550003,248.569988,187636400
2010-04-19,32.149062,3.457668833333332,247.070007,1.6394143533025325,247.889999,241.76999300000003,247.030006,141731100
2010-04-20,31.826361,3.606001999999999,244.590004,1.6885809002363013,249.250004,242.960007,248.540001,184581600
2010-04-21,33.730035,3.5196685000000003,259.220005,1.5649349981653398,260.249989,255.729992,258.799995,245597800
2010-04-22,34.673413000000004,3.795335266666668,266.46999700000003,2.0054312769519407,266.750004,256.199989,258.240009,198356200
2010-04-23,35.240741,3.8953353333333336,270.82999,1.9968849631832903,272.180008,266.999996,267.990005,199238900
2010-04-26,35.067681,3.9716682,269.5,1.9646527549335744,272.459988,268.19001000000003,271.880001,119767200
2010-04-27,34.096975,4.040667099999999,262.039989,2.045770726972618,267.839989,260.520008,267.269989,177335900
2010-04-28,34.039724,4.211334133333332,261.600006,2.122353001660192,264.000008,256.410007,263.250004,189600600
2010-04-29,34.955778,4.371668033333331,268.640007,2.2211413190251155,270.000011,262.010002,263.020012,139710200
2010-04-30,33.973362,4.611001966666663,261.090008,2.3813066581594238,270.570011,260.999992,269.310009,135615900
2010-05-03,34.657798,4.644001366666662,266.34999500000004,2.3795497394722966,267.87999,262.880009,263.840004,113585500
2010-05-04,33.659768,4.667002333333328,258.679993,2.3948943589402947,263.290005,256.749989,262.889996,180954900
2010-05-05,33.309742,4.824669466666661,255.989998,2.5466697873406465,258.140007,248.729992,253.03001,220775800
2010-05-06,32.042359999999995,6.701668833333329,246.249989,10.192621427750721,258.249996,199.249994,253.830002,321465200
2010-05-07,30.690402,7.2563356999999975,235.860004,10.52829792578933,246.569996,225.209988,243.710011,419004600
2010-05-10,33.049501,7.3470026999999964,253.990005,10.505630573747801,254.649994,248.529987,250.25,246076600
